City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,marsa matruh,31.3525,27.2453,69.49,52,10,12.44,EG,1682949266
323,alice springs,-23.7,133.8833,58.55,51,70,6.04,AU,1682949266
324,egvekinot,66.3167,-179.1667,2.97,88,98,12.12,RU,1682949266
325,homer,59.6425,-151.5483,40.8,71,40,8.01,US,1682949267
326,lokoja,7.8024,6.743,95.18,40,72,8.48,NG,1682949267
327,nizwa,22.9333,57.5333,95.76,9,0,6.24,OM,1682949267
328,jumla,29.2747,82.1838,47.53,97,100,2.77,NP,1682949267
329,kavieng,-2.5744,150.7967,81.34,82,100,10.76,PG,1682949267
330,sao filipe,14.8961,-24.4956,77.76,67,0,9.75,CV,1682949267
331,port-gentil,-0.7193,8.7815,87.76,66,40,9.22,GA,1682949268
332,kalmunai,7.4167,81.8167,81.39,82,100,10.13,LK,1682949268
333,taunggyi,20.7833,97.0333,71.4,42,6,2.73,MM,1682949268
334,kieta,-6.2167,155.6333,79.83,85,100,4.9,PG,1682949268
335,kruisfontein,-34.0033,24.7314,72.88,59,3,17.67,ZA,1682949268
336,sosnovo-ozerskoye,52.5249,111.5418,39.65,65,51,6.26,RU,1682949269
337,apatou,5.155,-54.3472,86.61,60,53,5.41,GF,1682949269
338,palmer,42.1584,-72.3287,52.32,78,100,18.41,US,1682949269
339,gouyave,12.1646,-61.7296,84.97,70,40,20.71,GD,1682949269
340,novo cruzeiro,-17.4681,-41.8753,77.72,61,92,2.44,BR,1682949269
341,sao joao da barra,-21.6403,-41.0511,77.09,75,58,4.29,BR,1682949269
342,jamtara,23.95,86.8,82.35,43,100,8.77,IN,1682949270
343,tieli,46.95,128.05,48.25,62,96,7.16,CN,1682949270
344,oranjemund,-28.55,16.4333,62.19,72,0,13.06,NA,1682949270
345,taoudenni,22.6783,-3.9836,109.9,4,0,4.12,ML,1682949270
346,pucallpa,-8.3791,-74.5539,77.04,83,75,0.0,PE,1682949270
347,calamar,10.2511,-74.9146,85.08,68,100,4.27,CO,1682949270
348,klaksvik,62.2266,-6.589,40.12,78,99,23.51,FO,1682949271
349,asosa,10.0667,34.5333,74.44,54,100,4.34,ET,1682949271
350,natal,-5.795,-35.2094,84.85,65,75,11.5,BR,1682949271
351,guadalupe victoria,32.2869,-115.105,60.87,62,0,6.62,MX,1682949271
352,concordia,-31.393,-58.0209,59.07,80,0,8.05,AR,1682949271
353,virginia beach,36.8529,-75.978,60.03,56,40,13.8,US,1682949152
354,riachao das neves,-11.7461,-44.91,81.84,59,95,6.76,BR,1682949271
355,trelew,-43.249,-65.3051,52.77,37,0,25.23,AR,1682949272
356,port blair,11.6667,92.75,84.96,70,41,6.96,IN,1682949272
357,ucluelet,48.9329,-125.5528,45.09,92,25,4.18,CA,1682949272
358,tupik,54.4253,119.9327,33.94,98,98,5.39,RU,1682949272
359,sheregesh,52.9209,87.9869,28.76,89,100,2.17,RU,1682949272
360,nortelandia,-14.4547,-56.8028,86.04,61,0,3.47,BR,1682949272
361,leshukonskoye,64.8989,45.7622,33.64,100,100,8.01,RU,1682949273
362,severo-kurilsk,50.6789,156.125,33.51,96,100,15.12,RU,1682949273
363,kodinsk,58.6881,99.1844,25.61,95,50,0.98,RU,1682949273
